#time count_nursery count_young count_tenured
1473855115 5 1 2
1473855116 5 1 2
1473855117 5 1 2
1473855118 5 1 2
1473855119 5 1 2
1473855120 5 1 2
1473855121 5 1 2
1473855122 5 1 2
1473855123 5 1 2
1473855124 5 1 2
1473855125 5 1 2
1473855126 5 1 2
1473855127 5 1 2
1473855128 5 1 2
1473855129 5 1 2
1473855130 5 1 2
1473855131 5 1 2
1473855132 5 1 2
1473855133 5 1 2
1473855134 5 1 2
1473855135 5 1 2
1473855136 5 1 2
1473855137 5 1 2
1473855138 5 1 2
1473855139 5 1 2
1473855140 5 1 2
1473855141 5 1 2
1473855142 5 1 2
1473855143 5 1 2
1473855144 5 1 2
1473855145 5 1 2
1473855146 5 1 2
1473855147 5 1 2
1473855148 5 1 2
1473855149 5 1 2
1473855150 5 1 2
1473855151 5 1 2
1473855152 5 1 2
1473855153 5 1 2
1473855154 5 1 2
1473855155 5 1 2
1473855156 5 1 2
1473855157 5 1 2
1473855158 5 1 2
1473855159 5 1 2
1473855160 5 1 2
1473855161 5 1 2
1473855162 5 1 2
1473855163 5 1 2
1473855164 5 1 2
1473855165 5 1 2
1473855166 5 1 2
1473855167 5 1 2
1473855168 5 1 2
1473855169 5 1 2
1473855170 5 1 2
1473855171 5 1 2
1473855172 5 1 2
1473855173 5 1 2
1473855174 5 1 2
1473855175 5 1 2
1473855176 5 1 2
1473855177 5 1 2
1473855178 5 1 2
1473855179 5 1 2
1473855180 5 1 2
1473855181 5 1 2
1473855182 5 1 2
1473855183 5 1 2
1473855184 5 1 2
1473855185 5 1 2
1473855186 5 1 2
1473855187 5 3 2
1473855188 5 3 2
1473855189 5 3 2
1473855190 5 3 2
1473855191 5 3 2
1473855192 5 3 2
1473855193 5 3 2
1473855194 5 3 2
1473855195 5 3 2
1473855196 5 3 2
1473855197 5 3 1
1473855198 5 3 1
1473855199 5 3 1
1473855200 5 3 1
1473855201 5 3 1
1473855202 5 3 1
1473855203 5 3 1
1473855204 5 3 1
1473855205 5 3 1
1473855206 5 3 1
1473855207 5 3 1
1473855208 5 3 1
1473855209 5 3 1
1473855210 5 3 1
1473855211 5 4 1
1473855212 5 4 1
1473855213 5 4 1
1473855214 5 4 1
1473855215 5 4 1
1473855216 5 4 1
1473855217 5 4 1
1473855218 5 4 1
1473855219 5 4 1
1473855220 5 4 1
1473855221 5 4 1
1473855222 5 4 1
1473855223 5 4 1
1473855224 5 4 1
1473855225 5 4 1
1473855226 5 4 1
1473855227 5 4 1
1473855228 5 4 1
1473855229 5 4 1
1473855230 5 4 1
1473855231 5 4 1
1473855232 5 4 1
1473855233 5 4 1
1473855234 5 4 1
1473855235 5 4 1
1473855236 5 4 1
1473855237 5 4 1
1473855238 5 4 1
1473855239 5 4 1
1473855240 5 4 1
1473855241 5 4 1
1473855242 5 4 1
1473855243 5 4 1
1473855244 5 4 1
1473855245 5 4 1
1473855246 5 4 1
1473855247 5 4 1
1473855248 5 4 1
1473855249 5 4 1
1473855250 5 4 1
1473855251 5 4 1
1473855252 5 4 1
1473855253 5 4 1
1473855254 5 4 1
1473855255 5 4 1
1473855256 5 4 1
1473855257 5 4 1
1473855258 5 4 1
1473855259 5 4 1
1473855260 5 4 1
1473855261 5 4 1
1473855262 5 4 1
1473855263 5 4 1
1473855264 5 4 1
1473855265 5 4 1
1473855266 5 4 1
1473855267 5 4 1
1473855268 5 4 1
1473855269 5 4 1
1473855270 5 4 1
1473855271 5 4 1
1473855272 5 4 1
1473855273 5 4 1
1473855274 5 4 1
1473855275 5 4 1
1473855276 5 4 1
1473855277 5 4 1
1473855278 5 4 1
1473855279 5 4 1
